pair name,distance,input1,input2,renamed input 1,renamed input 2,bestPerm,bestSubset,bijection,computing time,alphabet size
Bradamante_1,53,AABABABABABABABAB,ABABABABABABABABCDCDEFGFGFGFGFGFEFEEAEAEAEAEECACECACAHFHFHFGFGEAFACA,AABABABABABABABAB,ABABABABABABABABCDCDEFGFGFGFGFGFEFEEAEAEAEAEECACECACAHFHFHFGFGEAFACA,"[0, 1]","(0, 1)","[(0, 0), (1, 1)]",0.0010151863098144531,2
Bradamante_2,144,ABABABABABABABABABABABBABABABABABABABABABCACACACACACACACACACACACACACACACACACACACACACACACACACACDACADADACABEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEB,ABABABCDEDEDEDEFEFEFEGEGEGEHCDCHIHCGJHIBHCICHCDGBEIGBECHEGBHC,CACACACACACACACACACACAACACACACACACACACACABCBCBCBCBCBCBCBCBCBCBCBCBCBCBCBCBCBCBCBCBCBCBCBCBCBCBDCBCDCDCBCAEAEAEAEAEAEAEAEAEAEAEAEAEAEAEAEAEAEAEAEAEAEAEA,FGFGFGABCBCBCBCHCHCHCDCDCDCEABAEIEADJEIGEAIAEABDGCIDGCAECDGEA,"[1, 2, 0, 3, 4]","(2, 3, 4, 6, 7)","[(1, 2), (2, 3), (0, 4), (3, 6), (4, 7)]",0.4956696033477783,5
Bradamante_3,32,ABABABABABABABABABABCADCDCDCECECECECECBC,ABABCBCBCBACACBDEFGBABGCGFEAFGBGBGFBEBFG,ABABABABABABABABABABEACECECEDEDEDEDEDEBE,ABABCBCBCBACACBFGDEBABECEDGADEBEBEDBGBDE,"[0, 1, 3, 4, 2]","(0, 1, 2, 5, 6)","[(0, 0), (1, 1), (3, 2), (4, 5), (2, 6)]",0.027925491333007812,5
Bradamante_4,107,ABACACACACACACACACACACACACACAC,ABABABACBABABABCBABABCBDEFEFEFGEGEGEGEGEGEGEGEGEGEGEFGEGEGFGHIHIBHIBICHBIGJGCBCIBCGJIGCGHJGIGIBGIGBIGBGBHIHHKHKHKHKHKHKHKHKHKHKHKHKHKHKHK,ABACACACACACACACACACACACACACAC,DEDEDEDFEDEDEDEFEDEDEFEGABABABCACACACACACACACACACACABCACACBCHIHIEHIEIFHEICJCFEFIEFCJICFCHJCICIECICEICECEHIHHKHKHKHKHKHKHKHKHKHKHKHKHKHKHK,"[0, 1, 2]","(4, 5, 6)","[(0, 4), (1, 5), (2, 6)]",0.035932302474975586,3
